# stan_version_major = 2
# stan_version_minor = 27
# stan_version_patch = 0
# model = test_model
# start_datetime = 2021-06-14 13:33:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../cmdstan/myTest/test.data.json
# init = 2 (Default)
# random
#   seed = 300164798 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = %%NAME%%3 %%VERSION%%
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,r,z
# Adaptation terminated
# Step size = 0.937857
# Diagonal elements of inverse mass matrix:
# 0.440738
-6.79313,0.892455,0.937857,1,3,0,10.6785,0.213763,1,nan
-6.76622,0.957176,0.937857,2,3,0,7.13467,0.226672,1,nan
-6.93544,0.971176,0.937857,1,3,0,6.9573,0.179131,1,nan
-6.78819,0.98094,0.937857,1,3,0,7.14354,0.286495,1,nan
-6.78819,0.63847,0.937857,1,3,0,8.87881,0.286495,1,nan
-7.64102,0.728776,0.937857,1,3,0,8.54885,0.111748,1,nan
-6.79714,0.949504,0.937857,1,3,0,8.31769,0.290473,1,nan
-6.75155,0.995798,0.937857,1,3,0,6.82436,0.239601,1,nan
-6.79485,0.987403,0.937857,1,3,0,6.83003,0.289489,1,nan
-7.22393,0.845927,0.937857,1,3,0,7.75892,0.142967,1,nan
-7.43398,0.971804,0.937857,1,1,0,7.45881,0.125449,1,nan
-7.15774,1,0.937857,1,1,0,7.40477,0.149607,1,nan
-6.75569,0.984105,0.937857,2,3,0,7.36017,0.26569,1,nan
-7.0616,0.910502,0.937857,1,3,0,7.29885,0.160667,1,nan
-7.23978,0.973554,0.937857,1,1,0,7.25336,0.141472,1,nan
-7.28981,0.993049,0.937857,1,1,0,7.35527,0.136963,1,nan
-7.41724,0.983137,0.937857,1,1,0,7.46729,0.126689,1,nan
-6.75819,0.98828,0.937857,1,3,0,7.53666,0.232464,1,nan
-6.75351,0.997883,0.937857,1,3,0,6.77683,0.263241,1,nan
-6.96908,0.937209,0.937857,1,3,0,7.13018,0.173602,1,nan
-7.00438,0.994194,0.937857,1,1,0,7.03448,0.168327,1,nan
-7.18502,0.966034,0.937857,2,3,0,7.45498,0.146789,1,nan
-7.27681,0.98702,0.937857,1,1,0,7.32296,0.138106,1,nan
-10.0209,0.868753,0.937857,2,3,0,10.0458,0.613478,1,nan
-8.28543,1,0.937857,1,1,0,9.70197,0.497291,1,nan
-7.67605,1,0.937857,2,7,0,8.40595,0.109685,1,nan
-7.67605,0.984717,0.937857,1,1,0,7.88979,0.109685,1,nan
-7.78659,0.967633,0.937857,2,3,0,8.45425,0.103567,1,nan
-7.96073,0.817379,0.937857,1,3,0,10.9541,0.468272,1,nan
-7.87539,1,0.937857,1,1,0,8.22643,0.460013,1,nan
-7.41445,1,0.937857,1,1,0,7.84519,0.408857,1,nan
-7.41445,0.782524,0.937857,1,1,0,8.08732,0.408857,1,nan
-7.94633,0.859175,0.937857,1,1,0,8.03925,0.466899,1,nan
-6.74805,0.988497,0.937857,2,3,0,8.07452,0.249092,1,nan
-6.96671,0.901304,0.937857,2,3,0,7.40482,0.173974,1,nan
-6.7615,0.985953,0.937857,1,3,0,7.10892,0.270885,1,nan
-6.7604,0.924898,0.937857,2,3,0,7.28815,0.230682,1,nan
-6.79107,0.987572,0.937857,1,3,0,6.84821,0.287815,1,nan
-7.50291,0.776408,0.937857,2,7,0,8.28756,0.12057,1,nan
-7.51517,0.998493,0.937857,1,1,0,7.6275,0.119738,1,nan
-6.74995,1,0.937857,2,3,0,7.36974,0.257808,1,nan
-6.74896,1,0.937857,1,1,0,6.74977,0.255439,1,nan
-6.74813,0.986466,0.937857,2,3,0,6.84323,0.251818,1,nan
-6.74812,1,0.937857,2,7,0,6.74813,0.248225,1,nan
-6.77104,0.994809,0.937857,1,3,0,6.77819,0.223841,1,nan
-10.51,0.62102,0.937857,3,7,0,10.536,0.033317,1,nan
-10.6151,0.996142,0.937857,1,1,0,10.896,0.0320431,1,nan
-10.5017,1,0.937857,2,3,0,10.888,0.0334201,1,nan
-11.4911,0.989294,0.937857,2,3,0,11.5224,0.0232919,1,nan
-11.9662,0.906469,0.937857,3,7,0,12.1755,0.702339,1,nan
-8.79896,1,0.937857,1,1,0,11.2457,0.537248,1,nan
-7.64589,1,0.937857,2,7,0,8.70671,0.111457,1,nan
-6.75444,0.964995,0.937857,1,3,0,8.0938,0.264335,1,nan
-6.7511,1,0.937857,1,1,0,6.75383,0.259888,1,nan
